goal_id,employee_id,goal_type,goal_description,set_date,due_date,target_value,achieved_value,achievement_pct,status,quarter,department,priority
GOAL893376,EMP004430,Process Improvement,Achieve process improvement target for the period,2024/01/04,2024/06/02,418685.92,570404.56,136.2%,overdue,2022 Q1,procurement,High
GOAL784924,EMP019289,Training Completion,,"July 01, 2023",2023/09/28,712246.44,910495.27,127.8%,completed,Q4 2022,customer support,LOW
GOAL567307,EMP017484,Process Improvement,Achieve process improvement target for the period,27/11/2023,,,184193.07,30.2%,cancelled,Q1 2024,procurement,High
GOAL954276,EMP018965,Cost Reduction,Achieve cost reduction target for the period,2023/08/05,29 Sep 2023,380678.96,281456.0,73.9%,,Q4 2021,ADMIN,
GOAL505072,EMP005761,Sales Target,Achieve sales target target for the period,24 Jun 2021,10-04-2021,232144.95,176802.66,76.2%,completed,Q4 2023,Marketting,LOW
GOAL372495,EMP007309,Team Building,Achieve team building target for the period,2022-04-14,2022-09-21,848838.65,279986.05,33.0%,N/A,Q4 2023,Legal,high
GOAL748399,EMP012843,Cost Reduction,Achieve cost reduction target for the period,06-07-2021,14/07/2021,719180.57,606891.3,84.4%,cancelled,Q3 2024,Research and Development,Medium
GOAL917284,EMP009041,Sales Target,Achieve sales target target for the period,"July 02, 2023",12-19-2023,781448.5,432549.14,55.4%,overdue,2023-Q3,r&d,Medium
GOAL928946,EMP016659,Training Completion,,02-17-2022,20 May 2022,166705.92,142175.64,85.3%,N/A,Q4 2022,OPERATIONS,MEDIUM
GOAL926493,EMP000127,Training Completion,Achieve training completion target for the period,12-28-2021,2022-04-19,511815.16,313037.26,61.2%,Cancelled,Q4 2021,I.T.,High
GOAL954219,EMP018947,Customer Satisfaction,Achieve customer satisfaction target for the period,04-14-2022,08-18-2022,267671.51,71278.56,26.6%,overdue,q2 2024,Operatons,
GOAL791600,EMP975349,SALES TARGET,Achieve sales target target for the period,05-19-2022,09-12-2022,479450.99,621447.08,129.6%,Cancelled,Q2 2024,Law,LOW
GOAL599476,EMP006988,Revenue Growth,Achieve revenue growth target for the period,02-03-2024,,,61657.25,74.4%,,Q2 2021,Marketing,
GOAL955737,EMP007196,Revenue Growth,Achieve revenue growth target for the period,2023/07/22,08/12/2023,231510.31,145181.77,62.7%,overdue,Q2 2023,Finance,high
GOAL987312,EMP013781,Productivity,Achieve productivity target for the period,09-16-2023,2023-11-29,192738.49,107210.78,55.6%,cancelled,,human resources,Low
GOAL606740,EMP003465,Quality Improvement,Achieve quality improvement target for the period,2024/01/03,"July 01, 2024",511232.94,,30.8%,Overdue,Q1 2024,H.R.,
GOAL310233,EMP015092,Cost Reduction,Achieve cost reduction target for the period,"January 28, 2023",2023/03/28,201884.5,192337.32,95.3%,in progress,2023-Q3,Admin,N/A
GOAL151856,EMP007989,Cost Reduction,Achieve cost reduction target for the period,05-29-2023,2023/10/29,215141.56,224709.41,104.4%,Overdue,Q2-2023,HR,
GOAL223095,EMP974358,Customer Satisfaction,Achieve customer satisfaction target for the period,25/06/2021,04 Oct 2021,955784.11,403252.5,42.2%,In Progress,Q1 2022,sales,Low
GOAL658806,EMP013859,Revenue Growth,Achieve revenue growth target for the period,"April 08, 2021",25 Jul 2021,943872.19,601582.71,63.7%,in progress,Q12022,Human Resource,
GOAL763274,EMP009708,Productivity,Achieve productivity target for the period,03-24-2022,2022-08-21,917102.23,1151514.52,,Cancelled,Q2 2021,Procurment,Medium
GOAL801026,EMP001467,Cost Reduction,Achieve cost reduction target for the period,23/08/2022,2023/01/17,,101159.92,51.6%,cancelled,Q2 2022,sales,high
GOAL899759,EMP917653,QUALITY IMPROVEMENT,Achieve quality improvement target for the period,2022-12-28,22/04/2023,323442.92,233717.59,72.3%,In Progress,Q2 2022,Procurement,High
GOAL515764,EMP005864,Sales Target,Achieve sales target target for the period,2022/11/20,2023-05-16,180251.18,214950.93,119.3%,overdue,Q2-2023,Research & Dev,High
GOAL653162,EMP015087,Training Completion,Achieve training completion target for the period,16 Jul 2023,2023/10/14,239782.83,,95.6%,In Progress,Q1 2022,Sales,Low
GOAL340267,EMP019684,Revenue Growth,Achieve revenue growth target for the period,2021/03/19,05-30-2021,309051.62,280465.73,90.8%,In Progress,Q2 2021,PROCUREMENT,Medium
GOAL207674,EMP000688,Process Improvement,Achieve process improvement target for the period,"March 20, 2021","July 21, 2021",613253.34,827379.79,134.9%,In Progress,Q3 2024,Slaes,LOW
GOAL309798,EMP019140,Skill Development,Achieve skill development target for the period,18/11/2023,2024/05/04,583067.31,505794.98,86.7%,N/A,2022 Q1,Humaan Resources,Medium
GOAL936333,EMP015276,Cost Reduction,Achieve cost reduction target for the period,01-25-2022,05-02-2022,139185.5,98543.17,70.8%,cancelled,Q2 2022,sales,Medium
GOAL674853,EMP002301,Skill Development,Achieve skill development target for the period,08-28-2022,11/02/2023,316747.7,195361.32,61.7%,cancelled,Q1 2024,Administration,LOW
GOAL710076,EMP013380,Customer Satisfaction,Achieve customer satisfaction target for the period,2021/09/18,01-02-2022,735841.25,710074.04,96.5%,cancelled,Q2 2023,Info Tech,Medium
GOAL787797,EMP009655,Sales Target,Achieve sales target target for the period,2023-03-19,03 Jul 2023,683639.57,948708.0,138.8%,N/A,Q2-2023,Engineering,Low
GOAL493337,EMP008576,Compliance,Achieve compliance target for the period,29 Oct 2022,2023/01/31,600750.85,260865.78,43.4%,Completed,Q4 2022,Research and Development,LOW
GOAL245821,EMP019771,Sales Target,Achieve sales target target for the period,26/12/2021,05/03/2022,747733.57,554337.18,74.1%,Cancelled,Q3 2021,Finance,High
GOAL614024,EMP007588,SKILL DEVELOPMENT,,01/02/2024,2024-06-23,945216.46,1088326.69,115.1%,In Progress,Q1 2024,FINANCE,Low
GOAL129718,EMP005405,Compliance,Achieve compliance target for the period,2021-05-09,07-11-2021,302924.36,149020.08,,in progress,q2 2024,MARKETING,high
GOAL814331,EMP018265,Cost Reduction,Achieve cost reduction target for the period,"April 14, 2021",2021/06/26,867865.58,973064.27,112.1%,In Progress,,H.R.,MEDIUM
GOAL103025,EMP005954,Skill Development,Achieve skill development target for the period,2021/05/20,2021/07/05,735930.68,383634.0,52.1%,completed,Q1 2022,human resources,high
GOAL887787,EMP007163,Revenue Growth,Achieve revenue growth target for the period,2021-05-21,10-15-2021,490854.32,417574.37,85.1%,completed,,Finance,
GOAL444565,EMP014097,Compliance,Achieve compliance target for the period,"February 28, 2024",27 Jun 2024,624289.5,351132.84,56.2%,cancelled,Q2 2023,Legal,High
GOAL731181,EMP012224,Team Building,,2023/03/16,2023/05/05,108993.82,81587.68,74.9%,,Q4 2021,IT,
GOAL799851,EMP006680,Customer Satisfaction,Achieve customer satisfaction target for the period,18 Mar 2022,18/07/2022,485006.94,523130.07,107.9%,N/A,Q4 2022,human resources,high
GOAL598648,EMP003570,Cost Reduction,Achieve cost reduction target for the period,19/03/2023,"September 12, 2023",301925.87,94807.76,31.4%,completed,2023-Q3,Marketing,Low
GOAL305574,EMP009822,Training Completion,Achieve training completion target for the period,07/12/2023,01-27-2024,562063.08,660182.99,117.5%,N/A,,I.T.,Low
GOAL526801,EMP000758,Sales Target,Achieve sales target target for the period,"October 19, 2022",26/01/2023,946162.47,718090.29,75.9%,,q2 2024,PROCUREMENT,High
GOAL675365,EMP004454,Cost Reduction,Achieve cost reduction target for the period,11 Feb 2022,18/03/2022,575592.66,490164.77,85.2%,Cancelled,Q1 2022,Research and Development,MEDIUM
GOAL496753,EMP009285,Revenue Growth,Achieve revenue growth target for the period,2022-08-22,2022/10/12,494422.8,185549.68,37.5%,Overdue,Q4 2022,Info Tech,Medium
GOAL468376,EMP013828,Revenue Growth,Achieve revenue growth target for the period,2023/12/01,2024/03/23,578178.93,719980.31,124.5%,In Progress,Q2 2022,Law,
GOAL611062,EMP000578,Productivity,Achieve productivity target for the period,"February 03, 2024",05/07/2024,84056.35,105298.42,125.3%,Overdue,q3 2022,Customer service,Medium
GOAL945884,EMP008003,Revenue Growth,Achieve revenue growth target for the period,2023/02/14,04/08/2023,733090.55,273523.27,37.3%,Cancelled,2022 Q1,Slaes,High
GOAL808196,EMP001387,Compliance,Achieve compliance target for the period,11/02/2023,2023-03-19,766350.39,963472.39,125.7%,overdue,Q2 2023,Administraton,High
GOAL508055,EMP004372,Skill Development,Achieve skill development target for the period,10 Sep 2022,2023/01/19,86481.73,34729.51,40.2%,N/A,Q3 2021,Law,High
GOAL739299,EMP000997,Skill Development,Achieve skill development target for the period,"March 22, 2021",,103897.8,85454.14,82.2%,Completed,Q1 2024,ADMIN,Low
GOAL297713,EMP016947,Customer Satisfaction,Achieve customer satisfaction target for the period,14/04/2021,2021-09-28,676241.38,522605.03,77.3%,Cancelled,Q2-2023,operations,MEDIUM
GOAL674393,EMP003695,Innovation,Achieve innovation target for the period,25 Feb 2024,08/06/2024,314211.79,327346.18,104.2%,,2022 Q1,Info Tech,MEDIUM
GOAL623025,EMP003896,Cost Reduction,Achieve cost reduction target for the period,2023/10/19,"January 06, 2024",619035.39,850569.77,,Cancelled,Q4 2023,Finance,LOW
GOAL117649,EMP011141,Revenue Growth,Achieve revenue growth target for the period,2023-01-01,2023/04/01,,194549.24,63.7%,cancelled,2023-Q3,admin,Medium
GOAL809451,EMP012004,Skill Development,Achieve skill development target for the period,2022-06-18,,799966.61,961090.13,120.1%,cancelled,Q2 2023,Research and Development,MEDIUM
GOAL952934,EMP004151,Innovation,Achieve innovation target for the period,2022/08/02,09-21-2022,934255.83,190460.39,20.4%,cancelled,Q1 2023,customer support,Medium
GOAL386179,EMP004435,Sales Target,Achieve sales target target for the period,2021-08-29,"January 05, 2022",105381.24,142134.7,134.9%,Overdue,Q1 2023,Fiance,high
GOAL672590,EMP016090,Customer Satisfaction,Achieve customer satisfaction target for the period,04/04/2023,"August 17, 2023",754683.89,195681.19,25.9%,In Progress,Q2 2024,RnD,Low
GOAL471716,EMP000787,Revenue Growth,Achieve revenue growth target for the period,"March 11, 2021",2021-05-03,814301.21,1024776.44,125.8%,Completed,Q3 2022,Customer Support,MEDIUM
GOAL664018,EMP000439,Compliance,Achieve compliance target for the period,2022-12-01,2023/05/28,810076.33,723957.19,89.4%,Overdue,Q3 2024,r&d,LOW
GOAL537472,EMP017533,Revenue Growth,,11/10/2021,2022/01/31,705106.2,,94.6%,N/A,Q3 2024,Mktg,Medium
GOAL774252,EMP002766,Cost Reduction,Achieve cost reduction target for the period,09 Jan 2022,"February 08, 2022",,408407.34,132.4%,in progress,Q4 2023,Research and Development,High
GOAL520929,EMP016273,Cost Reduction,Achieve cost reduction target for the period,02/03/2021,07/05/2021,429663.23,145991.98,34.0%,Cancelled,Q1 2022,Marketting,LOW
GOAL138669,EMP010118,Training Completion,Achieve training completion target for the period,10 Oct 2023,01-07-2024,771206.15,737323.43,95.6%,Overdue,Q2 2024,sales,High
GOAL548269,EMP014181,Innovation,Achieve innovation target for the period,27 Oct 2023,"April 12, 2024",865448.07,480113.06,55.5%,overdue,q2 2024,Engineering,LOW
GOAL113505,EMP002878,Skill Development,Achieve skill development target for the period,11-13-2021,2022/05/02,299757.61,281527.64,93.9%,,Q12022,Customer Support,MEDIUM
GOAL791469,EMP015734,Productivity,Achieve productivity target for the period,"August 14, 2022",06 Jan 2023,752633.77,658489.12,87.5%,completed,Q4 2023,Sale,LOW
GOAL953165,EMP015210,Sales Target,Achieve sales target target for the period,07 Dec 2022,05-08-2023,518732.77,377819.59,,cancelled,Q2 2024,finance,Low
GOAL282946,EMP002957,TEAM BUILDING,Achieve team building target for the period,27 Feb 2021,13/07/2021,363877.7,504136.0,138.5%,N/A,q2 2024,Procurement,MEDIUM
GOAL199080,EMP009649,Productivity,Achieve productivity target for the period,2021-03-04,"May 21, 2021",462102.58,426257.08,92.2%,completed,Q2 2023,OPERATIONS,
GOAL793466,EMP009441,Skill Development,Achieve skill development target for the period,07-01-2022,07 Dec 2022,251112.69,201356.99,80.2%,Completed,Q3 2022,RnD,high
GOAL887934,EMP007454,Training Completion,Achieve training completion target for the period,27/09/2021,2021/11/24,392924.31,99180.92,25.2%,cancelled,Q4 2022,Administration,N/A
GOAL741217,EMP015958,Productivity,Achieve productivity target for the period,09/05/2023,07-15-2023,65227.44,,42.0%,cancelled,Q4 2021,r&d,
GOAL419322,EMP012189,Skill Development,Achieve skill development target for the period,18/12/2021,2022-06-05,220274.01,298120.86,135.3%,N/A,2023-Q3,Marketing,LOW
GOAL273323,EMP009001,Team Building,Achieve team building target for the period,"December 08, 2023",2024-06-05,335266.86,319348.99,95.3%,Cancelled,Q2 2022,operations,high
GOAL736271,EMP989601,Innovation,Achieve innovation target for the period,17 Feb 2024,2024-06-02,64474.75,30241.39,46.9%,Cancelled,Q2-2023,Legal,Low
GOAL562554,EMP002666,Training Completion,Achieve training completion target for the period,05-08-2022,12/07/2022,849589.53,1169672.2,137.7%,Overdue,Q4 2023,I.T.,Medium
GOAL152925,EMP006142,Process Improvement,Achieve process improvement target for the period,2021-05-24,2021/10/01,303296.09,352609.53,116.3%,In Progress,Q4 2022,Enginering,high
GOAL285494,EMP017488,Sales Target,Achieve sales target target for the period,"December 06, 2021",07/03/2022,,,38.1%,cancelled,2022 Q1,human resources,MEDIUM
GOAL119307,EMP019865,Innovation,,27 Jan 2022,"May 23, 2022",641855.35,613270.82,95.5%,Cancelled,Q4 2021,Human Resources,
GOAL357583,EMP017781,Project Delivery,Achieve project delivery target for the period,"August 24, 2023",14/02/2024,897037.31,1253833.25,139.8%,Overdue,Q2 2021,Legal,MEDIUM
GOAL894250,EMP016239,Training Completion,Achieve training completion target for the period,03-08-2023,08-10-2023,862763.92,623441.32,72.3%,Cancelled,Q4 2022,Humaan Resources,
GOAL327329,EMP015792,Team Building,Achieve team building target for the period,01/04/2021,05/07/2021,753006.78,768969.08,102.1%,Cancelled,Q1 2021,Sales,N/A
GOAL735265,EMP007378,Team Building,Achieve team building target for the period,2022/03/27,2022-08-24,813392.46,205199.95,25.2%,cancelled,Q3 2022,marketing,MEDIUM
GOAL544542,EMP010331,Sales Target,Achieve sales target target for the period,17 Feb 2023,2023/07/15,593101.15,468240.56,78.9%,overdue,Q3 2024,Research & Dev,Low
GOAL399397,EMP011640,INNOVATION,Achieve innovation target for the period,"February 01, 2022",2022-05-22,376862.12,498520.85,132.3%,in progress,q3 2022,PROCUREMENT,LOW
GOAL570738,EMP015590,Training Completion,Achieve training completion target for the period,12-08-2022,2023-01-20,585488.95,433506.45,74.0%,completed,Q3 2022,Proc,MEDIUM
GOAL141316,EMP001725,Customer Satisfaction,Achieve customer satisfaction target for the period,14/11/2023,"April 21, 2024",80079.03,80197.67,100.1%,N/A,Q1 2023,RnD,
GOAL514468,EMP005661,Cost Reduction,Achieve cost reduction target for the period,2021-12-11,02-14-2022,412226.84,518906.93,125.9%,in progress,Q3 2024,operations,N/A
GOAL668285,EMP016943,Process Improvement,Achieve process improvement target for the period,2023/07/08,15/09/2023,930404.27,339123.39,36.4%,Overdue,q3 2022,marketing,LOW
GOAL947315,EMP973849,Project Delivery,Achieve project delivery target for the period,12 Feb 2021,03-19-2021,878077.83,270352.47,30.8%,In Progress,Q3 2021,SALES,LOW
GOAL466118,EMP011795,Customer Satisfaction,Achieve customer satisfaction target for the period,"January 06, 2022",05-03-2022,551721.3,592544.59,107.4%,in progress,Q2 2021,procurement,N/A
GOAL274938,EMP908964,Sales Target,Achieve sales target target for the period,03-06-2022,2022/09/01,676421.05,249543.2,,completed,Q3 2021,Fiance,LOW
GOAL959485,EMP011519,Training Completion,Achieve training completion target for the period,2023/10/21,"February 11, 2024",233187.42,,21.1%,overdue,Q2 2023,customer support,LOW
GOAL998257,EMP016089,Quality Improvement,Achieve quality improvement target for the period,31/07/2021,08/01/2022,79196.67,35329.46,44.6%,Cancelled,2022 Q1,Admin,high
GOAL698503,EMP019262,Productivity,Achieve productivity target for the period,23 Feb 2022,,667134.37,182127.68,27.3%,cancelled,Q1 2022,ENGINEERING,High
GOAL666814,EMP017341,Revenue Growth,Achieve revenue growth target for the period,24 Apr 2023,2023/07/12,579006.02,451044.99,77.9%,in progress,Q4 2022,legal,High
GOAL876284,EMP008960,Training Completion,Achieve training completion target for the period,2023/03/19,24 Jul 2023,907196.88,811623.8,89.5%,,Q1 2024,MARKETING,Medium
GOAL534515,EMP014581,Customer Satisfaction,Achieve customer satisfaction target for the period,22/08/2021,22/10/2021,862432.36,1139818.69,132.2%,Overdue,Q3 2022,Sale,High
GOAL838644,EMP006668,Team Building,Achieve team building target for the period,02/11/2023,2023-12-29,407518.66,440475.06,108.1%,Overdue,Q1 2022,admin,High
GOAL288040,EMP016097,Customer Satisfaction,Achieve customer satisfaction target for the period,2022/06/21,02 Sep 2022,458998.15,463692.55,101.0%,in progress,Q12022,LEGAL,MEDIUM
GOAL598648,EMP003570,Cost Reduction,Achieve cost reduction target for the period,19/03/2023,"September 12, 2023",301925.87,94807.76,31.4%,completed,2023-Q3,Marketing,Low
GOAL426216,EMP004929,Project Delivery,Achieve project delivery target for the period,15 Aug 2022,14 Jan 2023,475810.92,139939.71,29.4%,completed,Q3 2023,legal,Medium
GOAL109371,EMP008584,Process Improvement,Achieve process improvement target for the period,2021-08-10,27/10/2021,735853.89,701355.32,95.3%,cancelled,Q1 2022,Customer Support,N/A
GOAL476062,EMP000779,Productivity,Achieve productivity target for the period,"October 28, 2022",12-18-2022,441213.93,101162.02,22.9%,Cancelled,Q3 2024,FINANCE,LOW
GOAL292741,EMP008445,Innovation,Achieve innovation target for the period,2022-08-02,2022-12-15,161060.99,100326.3,62.3%,in progress,Q2 2023,Fiance,N/A
GOAL525372,EMP014958,Skill Development,Achieve skill development target for the period,2021-02-26,18/07/2021,506029.82,373067.04,73.7%,,Q3 2021,CS,LOW
GOAL536244,EMP017803,Process Improvement,,2021-02-25,27 Jun 2021,805751.68,1002080.4,124.4%,Completed,Q4 2021,Info Tech,Low
GOAL511395,EMP018151,Revenue Growth,Achieve revenue growth target for the period,06-03-2021,"November 05, 2021",339840.53,,82.7%,Completed,Q2 2024,SALES,high
GOAL518351,EMP018514,TRAINING COMPLETION,Achieve training completion target for the period,"April 02, 2023",,369879.22,407228.85,110.1%,In Progress,Q4 2021,admin,Low
GOAL124399,EMP017881,Revenue Growth,Achieve revenue growth target for the period,2021/12/08,05-29-2022,874729.86,1100648.35,125.8%,N/A,Q2 2023,Sales,MEDIUM
GOAL435368,EMP019128,Sales Target,Achieve sales target target for the period,02-14-2022,04 Aug 2022,984623.88,946326.53,96.1%,Completed,Q2 2024,finance,Medium
GOAL314615,EMP019951,Process Improvement,Achieve process improvement target for the period,13/03/2023,"April 25, 2023",385309.2,160642.33,41.7%,cancelled,Q4 2023,Admin,high
GOAL784746,EMP017244,Skill Development,Achieve skill development target for the period,2023-06-21,,650675.8,694134.18,106.7%,completed,Q3 2024,Law,MEDIUM
GOAL541217,EMP019792,Project Delivery,Achieve project delivery target for the period,"August 14, 2021",02-10-2022,504207.85,162938.67,32.3%,in progress,,finance,Medium
GOAL473667,EMP007957,Training Completion,Achieve training completion target for the period,02-29-2024,2024/05/26,538717.03,479160.92,88.9%,overdue,Q2 2022,I.T.,
GOAL938579,EMP002802,Team Building,Achieve team building target for the period,02-15-2023,19 Mar 2023,666827.68,481353.53,72.2%,Completed,Q1 2024,Procurment,Medium
GOAL887995,EMP008256,Customer Satisfaction,Achieve customer satisfaction target for the period,06-26-2021,30 Nov 2021,608163.25,229025.95,37.7%,cancelled,q2 2024,ENGINEERING,N/A
GOAL230810,EMP011997,Cost Reduction,,2023/09/10,2024/01/14,153671.99,64910.49,42.2%,Overdue,Q2 2021,Engineerng,high
GOAL523207,EMP018649,Customer Satisfaction,Achieve customer satisfaction target for the period,06 Apr 2021,04/06/2021,848078.7,227119.31,26.8%,Completed,2022 Q1,it,LOW
GOAL385834,EMP007138,Productivity,Achieve productivity target for the period,03-03-2022,15/07/2022,327733.0,132241.13,40.4%,Completed,2022 Q1,Slaes,
GOAL119307,EMP019865,Innovation,,27 Jan 2022,"May 23, 2022",641855.35,613270.82,95.5%,Cancelled,Q4 2021,Human Resources,
GOAL572509,EMP018702,Quality Improvement,Achieve quality improvement target for the period,22 Jun 2021,2021/10/09,343236.1,359497.13,104.7%,cancelled,q3 2022,human resources,MEDIUM
GOAL582267,EMP004883,Compliance,Achieve compliance target for the period,02-18-2023,11/05/2023,115043.89,124387.35,108.1%,Overdue,Q2-2023,legal,Medium
GOAL281507,EMP009441,Cost Reduction,Achieve cost reduction target for the period,12 Dec 2023,04-29-2024,,181304.49,57.4%,in progress,Q2 2024,procurement,high
GOAL170334,EMP012368,Productivity,Achieve productivity target for the period,04/12/2023,2024/02/25,271808.09,300482.43,110.5%,in progress,Q4 2021,SALES,High
GOAL126580,EMP005035,Team Building,Achieve team building target for the period,08-07-2023,,735128.34,866492.16,117.9%,Overdue,Q1 2023,OPERATIONS,LOW
GOAL289340,EMP015534,Training Completion,Achieve training completion target for the period,21 Dec 2021,27 Mar 2022,184501.71,101002.66,54.7%,,,Human Resources,N/A
GOAL622365,EMP016998,Innovation,,27 Mar 2021,2021-06-07,818781.98,205362.18,25.1%,overdue,Q3 2024,Info Tech,MEDIUM
GOAL897239,EMP003215,Revenue Growth,,2021/09/10,02-28-2022,722974.6,741467.26,102.6%,,Q2 2023,marketing,N/A
GOAL732410,EMP011394,Project Delivery,Achieve project delivery target for the period,2021/03/08,2021/04/11,923352.13,657174.22,71.2%,,Q2 2021,OPERATIONS,Medium
GOAL335387,EMP008767,Customer Satisfaction,Achieve customer satisfaction target for the period,2021/02/27,"July 07, 2021",830676.43,1020434.53,122.8%,completed,2022 Q1,Operatons,Medium
GOAL260046,EMP001573,Team Building,Achieve team building target for the period,2022-01-06,03-21-2022,785874.45,214222.76,27.3%,overdue,Q3 2023,Proc,N/A
GOAL778657,EMP017754,Revenue Growth,Achieve revenue growth target for the period,2023-11-09,03-18-2024,264818.37,,32.1%,overdue,Q12022,Engineerng,Medium
GOAL549355,EMP015471,Process Improvement,Achieve process improvement target for the period,25/06/2021,21/10/2021,610886.21,513137.31,84.0%,overdue,q3 2022,RnD,Low
GOAL460895,EMP014975,TEAM BUILDING,Achieve team building target for the period,10-11-2021,"December 29, 2021",332560.79,444996.52,133.8%,,Q1 2024,FINANCE,High
GOAL985476,EMP015226,Project Delivery,Achieve project delivery target for the period,2022/03/31,2022-06-30,243821.69,88106.71,36.1%,completed,q2 2024,marketing,Medium
GOAL709118,EMP005708,Cost Reduction,Achieve cost reduction target for the period,02-24-2021,"June 05, 2021",548224.08,623162.1,113.7%,overdue,Q4 2023,admin,Low
GOAL827506,EMP960343,Training Completion,Achieve training completion target for the period,2023-11-06,01-23-2024,826405.43,625025.32,75.6%,in progress,Q4 2021,Engineerng,high
GOAL899512,EMP000319,Quality Improvement,Achieve quality improvement target for the period,2023-05-12,10/08/2023,889366.13,230455.22,25.9%,cancelled,Q4 2021,human resources,High
GOAL672298,EMP018812,Training Completion,Achieve training completion target for the period,"February 19, 2021","August 01, 2021",501943.91,395874.9,78.9%,completed,Q2 2024,operations,N/A
GOAL485572,EMP009591,Sales Target,Achieve sales target target for the period,29 Aug 2023,13/10/2023,980106.08,391762.6,40.0%,N/A,Q2 2023,Slaes,Low
GOAL338196,EMP018901,Process Improvement,Achieve process improvement target for the period,2023-08-27,02-20-2024,211209.1,52057.48,24.6%,Completed,Q4 2021,Information Technology,Low
GOAL133035,EMP000303,Productivity,Achieve productivity target for the period,"August 14, 2021",2021-12-29,474999.5,484415.73,102.0%,overdue,Q1 2022,Admin,Low
GOAL265857,EMP002215,Project Delivery,Achieve project delivery target for the period,26 Dec 2023,21 Jun 2024,704195.7,713926.84,101.4%,Cancelled,,sales,high
GOAL123042,EMP012740,Cost Reduction,Achieve cost reduction target for the period,02/01/2024,25 Mar 2024,323280.28,304042.35,94.0%,in progress,Q1 2024,customer support,MEDIUM
GOAL197235,EMP017999,Compliance,Achieve compliance target for the period,2022-11-08,26/02/2023,186196.75,52038.32,27.9%,overdue,q3 2022,HR,Medium
GOAL214943,EMP001880,PROCESS IMPROVEMENT,Achieve process improvement target for the period,2022/06/12,,190106.05,231861.95,,N/A,Q1 2021,Info Tech,
GOAL363922,EMP019248,Team Building,Achieve team building target for the period,14 Dec 2021,17 Feb 2022,216420.14,122410.84,56.6%,In Progress,Q4 2022,procurement,N/A
GOAL777466,EMP000633,Compliance,Achieve compliance target for the period,"June 17, 2023",04 Oct 2023,672267.41,374320.06,55.7%,in progress,Q3 2022,ENGINEERING,MEDIUM
GOAL369923,EMP019428,Productivity,Achieve productivity target for the period,2023/04/03,2023-06-22,312883.25,,,,,admin,N/A
GOAL899546,EMP008602,Sales Target,Achieve sales target target for the period,2022/03/13,"June 22, 2022",465651.87,222257.46,47.7%,overdue,Q4 2022,engineering,LOW
GOAL467021,EMP006959,Compliance,Achieve compliance target for the period,07-15-2022,12 Nov 2022,205606.33,,125.3%,N/A,Q4 2021,Human Resource,MEDIUM
GOAL273754,EMP004851,Innovation,Achieve innovation target for the period,04 Jul 2022,"August 12, 2022",665160.17,720960.02,108.4%,N/A,Q12022,procurement,LOW
GOAL152638,EMP017040,Sales Target,Achieve sales target target for the period,19 Jan 2023,26 Jun 2023,724584.77,248765.61,34.3%,In Progress,Q2 2024,Operations,High
GOAL307503,EMP009315,Process Improvement,Achieve process improvement target for the period,"July 02, 2021",04 Oct 2021,65858.2,27537.7,41.8%,Overdue,q3 2022,customer support,MEDIUM
GOAL638778,EMP015304,Project Delivery,Achieve project delivery target for the period,09-03-2021,05/01/2022,654018.47,202902.12,31.0%,cancelled,Q1 2024,Research and Development,MEDIUM
GOAL752816,EMP018974,Training Completion,Achieve training completion target for the period,01-17-2022,"June 26, 2022",723604.73,737053.74,101.9%,N/A,Q1 2022,admin,Low
GOAL117330,EMP002066,Cost Reduction,Achieve cost reduction target for the period,30/01/2021,19 Mar 2021,895240.57,400382.44,44.7%,,Q12022,Administration,MEDIUM
GOAL792429,EMP019545,Compliance,,06-14-2022,08-11-2022,507818.13,283416.5,55.8%,In Progress,Q4 2023,Slaes,MEDIUM
GOAL895784,EMP001817,Revenue Growth,Achieve revenue growth target for the period,2024/02/12,06-04-2024,246196.75,269618.64,109.5%,cancelled,2023-Q3,Finance,High
GOAL771626,EMP000776,Cost Reduction,Achieve cost reduction target for the period,17/01/2023,31/05/2023,590329.96,186350.2,31.6%,overdue,Q4 2022,r&d,Medium
GOAL430796,EMP004677,Productivity,Achieve productivity target for the period,27/11/2023,24 Jan 2024,707773.56,533403.4,,Cancelled,Q2 2024,Ops,LOW
GOAL174624,EMP013035,Productivity,Achieve productivity target for the period,2022/08/30,,532542.22,329938.07,62.0%,N/A,Q2 2023,Finance,high
GOAL676744,EMP005779,Revenue Growth,Achieve revenue growth target for the period,2023/07/09,2023/12/15,385221.31,209946.97,54.5%,,Q3 2023,Slaes,MEDIUM
GOAL228812,EMP003053,QUALITY IMPROVEMENT,Achieve quality improvement target for the period,2022-03-28,02/07/2022,908232.6,482050.2,,In Progress,Q2 2022,customer support,Low
GOAL822485,EMP004434,Compliance,Achieve compliance target for the period,12-03-2023,2024-05-20,870190.55,523462.25,60.2%,overdue,Q4 2023,finance,
GOAL486735,EMP016246,Skill Development,,01-03-2022,10/05/2022,940612.46,401189.23,42.7%,in progress,Q4 2021,Sale,Medium
GOAL929821,EMP006166,Project Delivery,Achieve project delivery target for the period,01/11/2021,2021-12-07,837806.58,726534.95,86.7%,N/A,2023-Q3,Humaan Resources,MEDIUM
GOAL516305,EMP012502,Innovation,,07 Oct 2023,11 Mar 2024,614634.97,810038.91,131.8%,N/A,2023-Q3,Slaes,Medium
